ACE inhibitor-induced cough, c_926, R05, T88.7, Y52.4
Abdominal aortic aneurysm, c_764, I71.4
Taeniasis, c_437, B68
Takayasu's disease, c_452, M31.4
Temporal giant cell arteritis, c_459, M31.6
Temporomandibular joint disorders, c_152, K07.6
Tension-type headaches, c_55, G44.2
Tertiary syphilis, c_774, A52.9
Testicular cancer, c_519, C62
Testicular torsion, c_523, N44
Tetanus, c_255, A35
Tetany, c_208, R29.0
Thalassemia, c_1094, D56
Thigh contusion, c_1048, S70.1
Thoracic aortic aneurysm, c_765, I71.2
Thoracic aortic dissection, c_884, I71.0
Thoracic outlet syndrome, c_618, G54.0
Thoracic vertebra fracture, c_1023, S22.0, S22.1
Thorax contusion, c_1061, S20.2
Threatened miscarriage, c_925, O20.0
Thrombocytopathy, c_392, D69.1
Thrombotic thrombocytopenic purpura, c_597, M31.1
Thyroid cancer, c_97, C73
Thyrotoxic crisis with thyrotoxicosis, c_429, E05.5
Thyrotropin releasing pituitary adenoma, c_546, D35.2, E05.8
Tibiofibular fracture, c_1014, S82.1, S82.2, S82.3, S82.4
Tinea capitis, c_835, B35.0
Tinea corporis, c_833, B35.4
Tinea cruris, c_912, B35.6
Tinea pedis, c_857, B35.3
Tinea versicolor, c_786, B36.0
Toe contusion, c_1045, S90.1
Toe dislocation, c_1032, S93.1
Toe fracture, c_1062, S92.5
Tonsillar hypertrophy, c_1195, J35.1
Toxocariasis, c_436, B83.0
Toxoplasmosis, c_729, B58
Transient ischemic attack, c_378, G45
Trichinosis, c_433, B75
Trichomoniasis, c_103, A59
Trichuriasis, c_438, B79
Trigeminal nerve damage, c_473, G50.9, S04.3
Trigeminal neuralgia, c_150, G50.0
Trochlear nerve palsy, c_548, H49.1
Trunk injury, unspecified location, c_1052, T09.9
Tularemia, c_236, A21
Tumor lysis syndrome, c_330, E88.3
Type 1 Neurofibromatosis, c_202, Q85.0
Type 2 Neurofibromatosis, c_574, Q85.0
Typhoid fever, c_234, A01.0
Typhus, c_238, A75, A77.9
Ulcerative colitis, c_23, K51
Ulcerative colitis exacerbation, c_1209, K51, K51.8
Ulnar nerve syndrome, c_946, G56.2
Unstable angina pectoris, c_664, I20.0
Unstable bradyarrhytmia, c_1127, I44.1, I44.2, I44.3, I45.9
Unstable tachyarrhytmia, c_1103, I49.0, R00.0
Upper limb injury, unspecified location, c_1036, T11.9
Urethritis, c_292, N34.1, N34.2, N34.3, N37.0
Urge urinary incontinence, c_54, N39.4
Uterine fibroids, c_47, D25
Uveitis, c_216, H20, H30
VIPoma, c_480, C25.4, E16.8
Vagus nerve palsy, c_554, G52.2
Varicocele, c_767, I86.1
Varicose veins of lower extremities, c_684, I83
Vascular hemorrhagic diathesis, c_391, D69.9
Vasculitis, c_316, I77.6
Vertebrobasilar insufficiency, c_384, G45.0
Vestibular neuronitis, c_599, H81.2
Vestibulocochlear nerve damage, c_470, H93.3, S04.6
Viral gastroenteritis, c_1076, A08, A08.4, A09, K52.8, K52.9
Viral meningitis, c_562, A87, B00.3, B02.1, B26.1, G02.0
Visceral leishmaniasis, c_214, B55.0
Visual disturbance, unspecified, c_1073, H53.9
Vitamin A deficiency, c_1141, E50, E50.0, E50.1, E50.2, E50.3, E50.4, E50.5, E50.6, E50.7, E50.8, E50.9
Vitamin B12 deficiency anemia, c_61, D51
Vomiting, unspecified, c_966, R11
Von Willebrand disease, c_388, D68.0
Vulvar cancer, c_95, C51
Vulvovaginal candidiasis, c_732, B37.3
Waldenström's macroglobulinemia, c_400, C88.0
Warts, c_13, B07
Wernicke's encephalopathy, c_376, E51.2
West Nile Virus infection, c_580, A92.3
Whitlow, c_569, L03.0
Wilson's disease, c_205, E83.0
Wiskott-Aldrich syndrome, c_268, D82.0
Wound dehiscence, c_1193, T81.3
Wound infection, c_1192, T79.3
Wrist and hand contusion, c_1043, S60.2
Wrist dislocation, c_1027, S63.0
Yellow fever, c_244, A95
Zika virus infection, c_906, A92.5
Zollinger-Ellison syndrome, c_213, E16.4
