Abdominal guarding, s_1558
Serious injury- respiratory difficulty- severe bleeding- new neurological problem, s_2089
Severe pain- after trauma, s_2081
Shallow breathing, s_1462
Short stature, s_2274
Single red area- larger than 1 cm, s_2356
Single red spot- smaller than 1 cm, s_2358
Skin desquamation, s_1470
Skin mass, s_1831
Skin mass- bleeding, s_1931
Skin mass- larger than 1 cm, s_1830
Skin mass- natal cleft, s_2285
Skin mass- smaller than 1 cm, s_101
Skin pain, s_1674
Skin pain- severe, s_43
Skin pallor- sudden, s_1209
Skin thickening, s_1650
Skin wound, s_2377
Skin wound- after surgery, s_2398
Skin wound- non-traumatic ulcer, s_2379
Skin wound- self-inflicted, s_2399
Skin wound- trauma-related, s_2378
Sleep disorder, s_319
Slower gait, s_238
Sneezing, s_715
Sneezing attacks, s_136
Snoring, s_67
Social isolation, s_659
Social maladjustment, s_773
Soft lump in inguinal region, s_1242
Soft lump in inguinal region- decreasing when supine, s_1244
Soft lump in inguinal region- increasing with increased abdominal pressure, s_1243
Soft lump in inguinal region- reducible, s_1245
Soft lump in umbilical region, s_2127
Soft lump in umbilical region- reducible, s_2128
Somnambulism, s_2129
Spasms in upper extremities, s_1426
Spasticity, s_571
Speech and language impairment- rapid onset, s_2290
Spine asymmetry, s_1536
Splenomegaly, s_1045
Steatorrhea, s_1434
Stiff neck, s_418
Strawberry tongue, s_1467
Subungual splinter hemorrhages, s_2291
Sudden face flushing, s_1067
Sudden increase in blood pressure, s_530
Suicidal thoughts, s_1139
Suicidal thoughts with plan and steps taken, s_1140
Sunburn, s_1943
Sunken fontanelle, s_2159
Suspicion of intoxication or poisoning, s_2407
Suspicious mole or birthmark, s_383
Suspicious mole or birthmark- irregular border, s_381
Suspicious mole or birthmark- larger than 6 mm, s_382
Swallowed foreign body, s_2300
Sweating on painful side of forehead, s_214
Swollen cheek, s_177
Swollen gums, s_172
Symptoms appearing after taking painkillers or a change in diet, s_162
Symptoms exacerbated by low temperature, s_558
Tachycardia, s_261
Tachypnea, s_227
Taste disorders, s_1096
Teething, s_2160
Telangiectasias, s_545
Telangiectasias- face, s_1685
Temporary blindness, s_1465
Tenderness in the scrotum, s_2410
Tenesmus, s_640
Terry's nails, s_1114
Tet spells, s_2263
Thickened nails, s_1790
Thickened nails- with pits or grooves, s_386
Third-degree burn, s_2039
Tingling fingers, s_555
Tinnitus, s_407
Toe pain, s_1833
Tongue enlargement, s_673
Tongue erythema, s_607
Tonsil stones, s_1534
Tooth loss, s_1050
Toothache, s_551
Toothache- associated with chewing, s_56
Toothache- associated with cold, s_2432
Toothache- associated with heat, s_231
Toothache- associated with lying down, s_2451
Toothache- associated with sweet or acidic foods or drinks, s_2452
Toothache- associated with touch, s_2485
Toothache- difficulty determining how many teeth hurt, s_2491
Toothache- difficulty determining which tooth hurts, s_267
Toothache- dull, s_2438
Toothache- lasting 48 hours or more, s_2450
Toothache- lasting less than 48 hours, s_2456
Toothache- mild, s_2429
Toothache- moderate, s_2428
Toothache- multiple teeth, s_2441
Toothache- one tooth, s_2442
Toothache- persistent, s_2449
Toothache- provoked, s_2430
Toothache- pulsating, s_2443
Toothache- radiating, s_2446
Toothache- severe, s_233
Toothache- sharp, s_2440
Toothache- spontaneous, s_2431
Toothache- transient, s_2433
Transitional stools of newborn, s_2518
Transverse furrow on the nose, s_1100
Tremors, s_538
Tremors- both hands, s_87
Tremors- disappears when holding limb or during suckling, s_2405
Tremors- stress-related, s_1765
Trismus, s_256
Twisted neck, s_2163
Ulcer- sore- or abscess near the anus, s_351
Umbilical discharge, s_2241
Uncertainty about physical abuse, s_2478
Undescended testis, s_2161
Unhealthy weight loss practices, s_243
Unilateral enophthalmos, s_668
Upper limb pallor, s_2068
Urethral discharge when pressing the penis, s_510
Urinary incontinence, s_153
Urinary retention, s_696
Urinary urgency, s_690
Urination in small amounts, s_689
Urticaria, s_393
Urticaria- lasting more than 6 weeks, s_2211
Urticaria- triggered by cold, s_791
Urticaria- triggered by heat, s_793
Urticaria- triggered by prolonged pressure on the skin, s_790
Urticaria- triggered by scratching, s_789
Uvula deviation towards unaffected side, s_1287
Vaginal discharge- grey, s_2338
Vaginal discharge- unpleasant odour, s_64
Vaginal discharge- white and clumpy, s_1569
Vascular compromise, s_2082
Visible head lice on scalp or brush, s_1792
Visual field narrowing, s_494
Vomiting, s_305
Vomiting- 7 days or more, s_2057
Vomiting- bilious, s_2055
Vomiting- every time after meal, s_1949
Vomiting- less than 7 days, s_2056
Vomiting- more often in the morning, s_1365
Vomiting- projectile, s_801
Vulvovaginal burning, s_1875
Vulvovaginal itching, s_630
Waking up during the night, s_2107
Weak peripheral pulses, s_1348
Weak pulse in legs, s_735
Weight faltering, s_2142
Wheezing- acute, s_2166
Wheezing- stridor, s_1562
Wheezing- subacute, s_2178
White nail discolouration, s_1788
White patch on cornea, s_1796
Worms in stool, s_1937
Wound drainage, s_2369
Wound infection, s_1981
Wound- active bleeding, s_1973
Wound- lip, s_2222
Wrist drop, s_1910
Writing difficulties, s_2344
Xanthoma, s_1561
Yellow nail discolouration, s_1789
Yellow or green coloured stool, s_2519
