Abdominal guarding, s_1558
Major bleeding, s_2077
Male genital burn, s_2187
Male infertility, s_2052
Malocclusions, s_289
Mandibular deviation when opening mouth, s_2403
Marcus Gunn pupil, s_1403
Mathematics difficulties, s_2352
Measles rash, s_665
Mendel-Bekhterev sign, s_1261
Menstrual period more than 3 weeks late, s_415
Mental disturbances exacerbated by stress, s_1768
Microstomia, s_360
Minor uncontrollable bleeding, s_2078
Miosis, s_537
Miscarriage, s_212
Moniz sign, s_1274
Mood swings, s_646
Motor retardation, s_1297
Mouth breathing, s_1104
Mouth pain, s_2065
Mouth pain- after eating spicy or acidic food, s_2421
Mouth ulcer, s_1
Mucosal pallor, s_1210
Mucosal pallor- sudden, s_1213
Mucous secretion in stool, s_642
Multiple red areas- larger than 1 cm, s_2357
Multiple red changes- different sizes, s_2370
Multiple red spots- smaller than 1 cm, s_2359
Murphy's sign, s_567
Muscle cramps, s_503
Muscle cramps- calf, s_117
Muscle cramps- hypnagogic, s_2506
Muscle cramps- nocturnal, s_2494
Muscle weakness, s_650
Muscle weakness- general, s_2330
Myalgia, s_1142
Myalgia- exacerbated by stress, s_1766
Myalgia- following intense physical exertion, s_2455
Mydriasis, s_536
Myringitis, s_1476
Nail clubbing, s_603
Nail dystrophy, s_1167
Nail pain, s_2005
Nasal catarrh, s_107
Nasal catarrh- mucoid, s_2153
Nasal catarrh- purulent, s_2154
Nasal congestion, s_331
Nasal congestion- acute, s_2307
Nasal congestion- chronic, s_1812
Nasal congestion- subacute, s_2308
Nasal congestion- worsens after briefly improving, s_2226
Nasal polyps, s_524
Nasal speech, s_1303
Nausea, s_156
Neck asymmetry, s_1388
Neck pain, s_1483
Neck pain- during head movement, s_2173
Neck pain- unilateral, s_965
Neck vein distention, s_671
Neglecting duties and hobbies due to alcohol, s_820
Neglecting duties and hobbies due to sex, s_326
Nervousness or weepiness, s_143
Neurological deficit- since less than 24 hours, s_2080
Neurological deficit- since more than 24 hours, s_2083
Night sweats, s_217
Nihilistic delusions, s_678
Nipple discharge, s_1422
No contact with COVID-19 case, s_2258
No history of inflammatory bowel disease, s_2462
No signs of upper respiratory infection, s_2172
Nocturia, s_182
Nodule located in breast, s_300
Non-stop alcohol consumption for several days, s_822
Nonmenstrual vaginal bleeding or spotting, s_1217
Normal body temperature, s_2168
Normal heart rate, s_2169
Normal lung sounds on auscultation, s_2171
Normal vital signs, s_2174
Nose pain, s_1605
Nosebleed, s_1429
Nosebleed- recurrent, s_2017
Nosebleed- single episode, s_2016
Numbness of tongue, s_1148
Numerous nevi, s_377
Nystagmus, s_479
Nystagmus- horizontal, s_1721
Obsessions, s_127
Obsessions- compulsive thoughts, s_687
Obsessions- intrusive thoughts, s_688
Ocular bulb rotation laterally and downward, s_1237
Ocular motility disorder, s_750
Oculomotor nerve palsy, s_1147
Odynophagia, s_509
Oily skin, s_362
Oligomenorrhea, s_1877
Oliguria, s_185
Opacified tympanic membrane, s_1107
Open comedones, s_389
Oppenheim's sign, s_1256
Optic disc neovascularization, s_1410
Optic nerve disc pallor, s_1329
Oral lesions- changes in the location- size- or shape, s_2422
Oral lesions- multiple, s_2414
Oral lesions- recurrent, s_2424
Oral lesions- red, s_2416
Oral lesions- well-demarcated borders, s_2413
Oral lesions- white plaques, s_1673
Orbicularis oris muscle spasm, s_868
Organic cause, s_844
Orthostatic hypotension, s_541
Osler nodes, s_1719
Other type of contact with COVID-19 case, s_2257
Ovarian enlargement, s_1289
Overbite, s_1110
Overworked, s_371
Pain behind ear, s_1180
Pain caused by firm pressure on tibia, s_1382
Pain in both lower limbs, s_1453
Pain in both lower limbs- both feet, s_2092
Pain in both lower limbs- stocking distribution, s_1112
Pain in both upper limbs, s_1452
Pain in both upper limbs- both hands, s_2091
Pain in front of ear, s_2402
Pain in groin during coughing- sneezing- laughing- or physical exercises, s_1250
Pain in lower limb, s_579
Pain in lower limb- limping due to pain, s_1927
Pain in lower limb- severe, s_1930
Pain in lower limb- shin, s_2335
Pain in lower limb- thigh, s_1893
Pain in temporomandibular joint during movement, s_430
Pain in upper limb, s_580
Pain in upper limb- forearm, s_1799
Pain in upper limb- hand or fingers, s_554
Pain in upper limb- one finger, s_1313
Pain in upper limb- severe, s_1935
Pain near eye socket, s_54
Painful defecation, s_1393
Painful ejaculation, s_33
Painful intercourse, s_32
Painful urination, s_39
Palatine petechiae, s_1371
Pale and brittle nails, s_10
Pale or clay-coloured stool, s_569
Pale skin, s_9
Pale skin- fingers, s_2282
Palpitations, s_110
Palpitations- lasting more than 5 minutes, s_2002
Palpitations- recurrent, s_2004
Panic attacks in public or when talking to strangers, s_722
Papilledema, s_803
Paralogical thinking, s_838
Paranasal sinuses tenderness, s_1496
Paraphimosis, s_2206
Paraspinal muscle tenderness, s_1486
Paresis- ascending, s_744
Paresis- both lower limbs, s_2326
Paresis- both upper limbs, s_2343
Paresis- hemiparesis, s_1005
Paresis- limbs, s_148
Paresis- limbs- lasting between 24 hours and 4 weeks, s_2346
Paresis- limbs- lasting less than 24 hours, s_2345
Paresis- limbs- lasting more than 4 weeks, s_2347
Paresis- limbs- other, s_2340
Paresis- limbs- tetraparesis, s_2339
Paresis- localised, s_2331
Paresis- one lower limb, s_2318
Paresis- one upper limb, s_2342
Paresthesia, s_518
Paresthesia in both upper limbs- glove distribution, s_1066
Paresthesia- around the mouth, s_126
Paresthesia- ascending, s_1069
Paresthesia- both feet, s_125
Paresthesia- both lower limbs, s_1063
Paresthesia- both upper limbs, s_973
Paresthesia- face, s_971
Paresthesia- lower limbs, s_2306
Paresthesia- one foot, s_2315
Paresthesia- one lower limb, s_2001
Paresthesia- one upper limb, s_1449
Paresthesia- sudden onset, s_1932
Paresthesia- upper limbs, s_2304
Paresthesias- symmetrical, s_1068
Parotid swelling, s_529
Past appendectomy, s_1800
Past cholecystectomy, s_1801
Pathologic fractures, s_1715
Pencil-thin stools, s_795
Penile itching, s_2043
Pericardial friction rub, s_1380
Perionychial pain, s_1312
Periorbital ecchymosis, s_2084
Perseveration, s_1018
Personality changes, s_348
Petechiae, s_594
Pharyngeal erythema, s_1367
Pharyngeal pain, s_20
Pharyngeal pain- unilateral, s_1826
Pharyngeal swelling, s_2461
Phimosis, s_263
Phobia, s_915
Physical injury, s_2088
Physical injury- to self or others after drinking alcohol, s_281
Pleural effusion, s_1437
Pleural friction rub, s_1396
Pleuritic chest pain- after trauma, s_2112
Polyuria, s_75
Poor personal hygiene, s_770
Positive allergy challenge, s_1093
Positive prick or patch skin allergy test, s_1092
Possible rabies exposure, s_2175
Postnasal drip, s_1471
Premature greying, s_225
Preoccupation with food, s_69
Presence of neurofibromas, s_1323
Pretibial myxedema, s_1162
Priapism, s_1397
Problems with everyday tasks, s_123
Prolonged bleeding time, s_593
Prolonged nighttime sleep, s_777
Prostate enlargement, s_1089
Pruritus, s_254
Pruritus- aggravated by change in temperature- sweating- or wearing wool, s_251
Pruritus- foot, s_2033
Pruritus- most intense at night, s_250
Pruritus- scalp, s_1617
Pseudomembrane in nose or throat, s_1548
Psychomotor retardation, s_649
Pupil dilation variation, s_653
Pupil or pupils unreactive to accommodation, s_1238
Purpuric rash, s_762
Purpuric rash- palpable, s_1915
Purulent vaginal discharge, s_2212
Pus under the skin of the finger, s_1315
Pustule, s_388
Pyramidal signs, s_989
Quickening of thoughts and speech, s_637
Rash or impulsive decisions, s_779
Re-experiencing the psychological trauma in nightmares, s_706
Re-experiencing the psychological trauma in recurring flashbacks, s_705
Re-experiencing the psychological trauma through physiological reactivity, s_708
Re-experiencing traumatic event, s_707
Reading difficulties, s_2351
Rebound tenderness, s_1494
Recent alcohol consumption, s_528
Recent injury without bleeding, s_2079
Recent self-injurious behaviour- major, s_2230
Recent self-injurious behaviour- minor, s_2229
Recurrent gastric ulcers, s_142
Recurrent tonsils inflammation, s_139
Red and stinging conjunctivae, s_72
Red and swollen oral mucosa, s_692
Red coloured stool, s_112
Red coloured urine, s_113
Red eye, s_492
Red macules with silver-white- flaky scales, s_384
Red stretch marks on abdomen- hips- or thighs, s_73
Redness behind the ear, s_1181
Redness in temporal region, s_1145
Reduced body temperature, s_410
Reduced degree of facial expression, s_572
Reduced range of joint motion, s_1713
Reduced range of joint motion- passive, s_1903
Regular uterine contractions, s_2008
Regurgitation, s_330
Religious delusion, s_780
Respiratory distress- after trauma, s_2076
Restless legs- nocturnal, s_1463
Restricted interests, s_1697
Restricted mobility- difficulty bending over, s_186
Retinal artery occlusions, s_1418
Retinal hemorrhage, s_1344
Retinal microaneurysms, s_1412
Retinal neovascularization elsewhere, s_1415
Retinal swelling, s_1414
Retraction or indentation of nipple, s_343
Retrobulbar neuritis, s_1055
Rhinitis triggered by environment, s_1533
Rhinophyma, s_1682
Risky alcohol consumption, s_816
Romberg's sign, s_1738
Rose spots on lower chest and abdomen, s_1377
Rossolimo's sign, s_1255
Rovsing's sign, s_1732
Russell's sign, s_1141
Sagging of the palate ipsilateral to suspected nerve damage, s_1285
Scarlet fever rash, s_1544
Schaeffer's sign, s_1259
Schizophasia, s_836
Scleral icterus, s_1492
Scotoma, s_124
Scrotal transillumination, s_1342
Seasonal pattern of depressive symptoms, s_835
Secret alcohol consumption, s_829
Seizures, s_2045
Seizures- recurrent, s_2209
Seizures- reflex, s_2259
Seizures- with loss of consciousness, s_189
Seizures- without loss of consciousness, s_539
Self-injurious behaviour- recent, s_2228
Self-injurious thoughts or behaviours, s_2213
Sense of self-worth dependent on weight, s_423
Sensory loss in both arms, s_972
Sensory loss in one limb, s_313
Serious injury- respiratory difficulty- severe bleeding- new neurological problem, s_2089
Severe pain- after trauma, s_2081
Sexual activity more often or with more partners than intended, s_74
Sexual intercourse in recent months, s_2
Shafer's sign, s_1399
Shallow breathing, s_1462
Short stature, s_2274
Simple auditory paradelusions, s_648
Simple visual paradelusions, s_647
Single red area- larger than 1 cm, s_2356
Single red spot- smaller than 1 cm, s_2358
Skin desquamation, s_1470
Skin mass, s_1831
Skin mass- bleeding, s_1931
Skin mass- larger than 1 cm, s_1830
Skin mass- natal cleft, s_2285
Skin mass- smaller than 1 cm, s_101
Skin pain, s_1674
Skin pain- severe, s_43
Skin pallor- sudden, s_1209
Skin phototype I or II, s_376
Skin thickening, s_1650
Skin wound, s_2377
Skin wound- after surgery, s_2398
Skin wound- non-traumatic ulcer, s_2379
Skin wound- self-inflicted, s_2399
Skin wound- trauma-related, s_2378
Skull lesions, s_1474
Sleep disorder, s_319
Slower gait, s_238
Smoking- during illness, s_196
Smoking- in non-smoking areas, s_265
Smoking- large quantities, s_93
Smoking- mostly in the morning, s_308
Smoking- need first cigarette of the day, s_134
Smoking- need when waking up, s_327
Smooth face without wrinkles, s_271
Sneezing, s_715
Sneezing attacks, s_136
Snoring, s_67
Social isolation, s_659
Social maladjustment, s_773
Soft lump in inguinal region, s_1242
Soft lump in inguinal region- decreasing when supine, s_1244
Soft lump in inguinal region- increasing with increased abdominal pressure, s_1243
Soft lump in inguinal region- reducible, s_1245
Soft retinal exudates, s_1347
Spasms in upper extremities, s_1426
Spasticity, s_571
Speech and language impairment- rapid onset, s_2290
Spending a lot of time on sex-related activity, s_213
Spine asymmetry, s_1536
Spine stiffness in the morning, s_257
Splenomegaly, s_1045
Steatorrhea, s_1434
Sterling's sign, s_1270
Sternal rub, s_1381
Stiff neck, s_418
Stransky's sign, s_1260
Strawberry tongue, s_1467
Strumpell's sign, s_1275
Subungual splinter hemorrhages, s_2291
Sudden face flushing, s_1067
Sudden increase in blood pressure, s_530
Suicidal thoughts, s_1139
Suicidal thoughts with plan and steps taken, s_1140
Sunburn, s_1943
Suspicion of intoxication or poisoning, s_2407
Suspicious mole or birthmark, s_383
Suspicious mole or birthmark- asymmetrical, s_380
Suspicious mole or birthmark- change in colour, s_585
Suspicious mole or birthmark- change in shape, s_584
Suspicious mole or birthmark- irregular border, s_381
Suspicious mole or birthmark- larger than 6 mm, s_382
Swallowed foreign body, s_2300
Sweating on painful side of forehead, s_214
Swelling in the mastoid region, s_1182
Swelling of nasal concha, s_1099
Swelling of nasal mucosa, s_1097
Swelling of temporal artery, s_1144
Swollen blue or bluish-gray nasal mucosa, s_1098
Swollen cheek, s_177
Swollen gums, s_172
Symptoms appearing after taking painkillers or a change in diet, s_162
Symptoms exacerbated by low temperature, s_558
Symptoms regularly appearing a few days before menstrual period, s_161
Tachycardia, s_261
Tachypnea, s_227
Taste disorder- anterior two-thirds of tongue, s_1153
Taste disorders, s_1096
Telangiectasias, s_545
Telangiectasias- face, s_1685
Temporary blindness, s_1465
Tenderness in the scrotum, s_2410
Tenesmus, s_640
Terry's nails, s_1114
Testicular atrophy, s_1117
Thickened nails, s_1790
Thickened nails- with pits or grooves, s_386
Third-degree burn, s_2039
Thoughts of harming one's child, s_728
Thoughts of killing one's child, s_729
Tingling fingers, s_555
Tingling fingers- first three digits, s_1899
Tingling fingers- fourth and fifth digits, s_1900
Tinnitus, s_407
Tinnitus- pulsatile, s_1466
Toe pain, s_1833
Tongue enlargement, s_673
Tongue erythema, s_607
Tongue muscle atrophy, s_995
Tonsil stones, s_1534
Tooth loss, s_1050
Toothache, s_551
Toothache- associated with chewing, s_56
Toothache- associated with cold, s_2432
Toothache- associated with heat, s_231
Toothache- associated with lying down, s_2451
Toothache- associated with sweet or acidic foods or drinks, s_2452
Toothache- associated with touch, s_2485
Toothache- difficulty determining how many teeth hurt, s_2491
Toothache- difficulty determining which tooth hurts, s_267
Toothache- dull, s_2438
Toothache- lasting 48 hours or more, s_2450
Toothache- lasting less than 48 hours, s_2456
Toothache- mild, s_2429
Toothache- moderate, s_2428
Toothache- multiple teeth, s_2441
Toothache- one tooth, s_2442
Toothache- persistent, s_2449
Toothache- provoked, s_2430
Toothache- pulsating, s_2443
Toothache- radiating, s_2446
Toothache- severe, s_233
Toothache- sharp, s_2440
Toothache- spontaneous, s_2431
Toothache- transient, s_2433
Transverse furrow on the nose, s_1100
Tremors, s_538
Tremors- both hands, s_87
Tremors- flapping, s_1421
Tremors- intention, s_1264
Tremors- kinetic, s_1454
Tremors- one hand, s_86
Tremors- pill-rolling, s_1379
Tremors- resting, s_1455
Tremors- stress-related, s_1765
Tremors- subsides after drinking alcohol, s_84
Tremors- tongue, s_590
Tremors- unspecified location, s_2305
Trigeminal neuralgia, s_1056
Trismus, s_256
Tromner's sign, s_1262
Trophic changes, s_1074
Trophic ulcer, s_1076
Trophic ulcer- plantar side of the foot, s_1078
Trouble beginning urination, s_691
Trousseau sign of latent tetany, s_866
Twisted neck, s_2163
Ulcer- completely painless, s_2119
Ulcer- nipple, s_194
Ulcer- not healing within 6 weeks, s_2208
Ulcer- sore- or abscess near the anus, s_351
Umbilical discharge, s_2241
Uncertainty about physical abuse, s_2478
Unhealthy weight loss practices, s_243
Unilateral enophthalmos, s_668
Unilateral vulval swelling, s_1586
Unknown heart rate, s_2251
Upper limb pallor, s_2068
Urethral discharge when pressing the penis, s_510
Urinary incontinence, s_153
Urinary retention, s_696
Urinary urgency, s_690
Urination in small amounts, s_689
Urination while coughing- laughing- or during physical exertion, s_183
Urticaria, s_393
Urticaria- lasting more than 6 weeks, s_2211
Urticaria- triggered by cold, s_791
Urticaria- triggered by heat, s_793
Urticaria- triggered by prolonged pressure on the skin, s_790
Urticaria- triggered by scratching, s_789
Uvula deviation towards unaffected side, s_1287
Vaginal discharge- grey, s_2338
Vaginal discharge- unpleasant odour, s_64
Vaginal discharge- white and clumpy, s_1569
Vaginal dryness, s_1811
Vascular compromise, s_2082
Vesicular exanthema of mouth or ear, s_1318
Violating social norms after drinking alcohol, s_824
Visible head lice on scalp or brush, s_1792
Visual agnosia, s_1034
Visual field narrowing, s_494
Vitreous hemorrhage, s_1398
Vomiting, s_305
Vomiting- 7 days or more, s_2057
Vomiting- bilious, s_2055
Vomiting- every time after meal, s_1949
Vomiting- less than 7 days, s_2056
Vomiting- more often in the morning, s_1365
Vomiting- projectile, s_801
Vulvovaginal burning, s_1875
Vulvovaginal itching, s_630
Waking up early, s_776
Weak or absent pharyngeal reflex, s_1280
Weak peripheral pulses, s_1348
Weak pulse in legs, s_735
Weight faltering, s_2142
Weight gain, s_226
Weight loss, s_285
Weight loss- without loss of appetite, s_237
Weiss ring, s_1402
Westphal's sign, s_1340
Wheezing- acute, s_2166
Wheezing- stridor, s_1562
White nail discolouration, s_1788
White patch on cornea, s_1796
Winterbottom's sign, s_1183
Worms in stool, s_1937
Wound drainage, s_2369
Wound infection, s_1981
Wound- active bleeding, s_1973
Wound- lip, s_2222
Wrinkling or dimpling of skin on breast, s_342
Wrist drop, s_1910
Writing difficulties, s_2344
Xanthelasma, s_613
Xanthoma, s_1561
Yellow nail discolouration, s_1789
Yellow or green coloured stool, s_2519
